date,spy_close,spy_return,vix_close,rv_5d,rv_21d
2024-09-03,503.19,0.006361,15.18,,
2024-09-04,502.56,-0.001259,17.8,,
2024-09-05,506.68,0.008172,19.24,,
2024-09-06,516.23,0.018676,17.93,,
2024-09-09,514.99,-0.00241,14.87,0.1349,
2024-09-10,513.75,-0.00241,16.11,0.1469,
2024-09-11,523.79,0.019351,18.21,0.1701,
2024-09-12,528.85,0.009609,15.84,0.1703,
2024-09-13,526.09,-0.005234,17.23,0.1654,
2024-09-16,529.73,0.006911,17.62,0.1564,
2024-09-17,527.01,-0.005161,15.63,0.1663,
2024-09-18,524.28,-0.005189,16.7,0.118,
2024-09-19,526.01,0.003304,12.88,0.0918,
2024-09-20,514.28,-0.022559,15.67,0.1807,
2024-09-23,503.95,-0.020299,16.72,0.1752,
2024-09-24,500.76,-0.006347,15.54,0.1734,
2024-09-25,494.91,-0.011754,18.81,0.1675,
2024-09-26,496.98,0.004171,15.07,0.1724,
2024-09-27,491.79,-0.010496,16.27,0.1415,
2024-09-30,483.72,-0.016548,16.88,0.124,
2024-10-01,492.49,0.017988,18.73,0.2256,0.1908
2024-10-02,491.36,-0.002309,15.28,0.213,0.1891
2024-10-03,491.95,0.00121,18.39,0.2091,0.1893
2024-10-04,483.81,-0.016697,16.95,0.2286,0.1936
2024-10-07,480.85,-0.006133,15.67,0.2008,0.1784
2024-10-08,481.68,0.001731,17.41,0.1198,0.1792
2024-10-09,475.27,-0.013412,17.11,0.1326,0.1827
2024-10-10,477.6,0.004908,16.16,0.1481,0.1658
2024-10-11,474.36,-0.006808,16.95,0.1159,0.1579
2024-10-14,472.9,-0.0031,16.32,0.1143,0.158
2024-10-15,469.68,-0.00682,16.67,0.1062,0.1519
2024-10-16,480.43,0.022627,17.67,0.1969,0.181
2024-10-17,480.54,0.000238,18.78,0.1956,0.1816
2024-10-18,474.67,-0.012293,15.35,0.2129,0.1816
2024-10-21,479.57,0.010271,19.43,0.2211,0.1769
2024-10-22,472.79,-0.01425,14.6,0.2463,0.1707
2024-10-23,474.16,0.002906,16.7,0.1653,0.1715
2024-10-24,463.33,-0.023116,17.75,0.2154,0.1832
2024-10-25,456.19,-0.015538,17.42,0.2213,0.186
2024-10-28,457.45,0.002762,16.35,0.1859,0.1859
2024-10-29,461.7,0.009262,16.89,0.2195,0.1845
2024-10-30,462.84,0.002456,16.33,0.2186,0.1704
2024-10-31,462.38,-0.000988,16.21,0.1466,0.1705
2024-11-01,460.9,-0.003213,17.91,0.0751,0.1699
2024-11-04,452.98,-0.017342,17.3,0.1557,0.1705
2024-11-05,449.26,-0.008238,16.01,0.1221,0.1712
2024-11-06,446.96,-0.005128,17.89,0.1012,0.1703
2024-11-07,452.85,0.013085,17.15,0.1756,0.1756
2024-11-08,454.9,0.004523,17.68,0.1865,0.1754
2024-11-11,445.56,-0.020756,17.62,0.2042,0.1863
2024-11-12,447.47,0.004289,15.83,0.2045,0.188
2024-11-13,445.59,-0.004221,16.14,0.2034,0.1874
2024-11-14,442.16,-0.007723,17.71,0.1652,0.1642
2024-11-15,445.59,0.00774,17.6,0.1777,0.1686
2024-11-18,451.32,0.012772,16.83,0.1342,0.1746
2024-11-19,456.58,0.011575,17.02,0.1492,0.1758
2024-11-20,452.18,-0.009671,18.44,0.1715,0.1726
2024-11-21,450.69,-0.003311,16.14,0.1564,0.1717
