date,close,volume
2024-03-01,90.13,1213
2024-03-02,88.6,1993
2024-03-03,88.01,1487
2024-03-04,88.07,2458
2024-03-05,86.84,1641
2024-03-06,86.21,987
2024-03-07,85.33,703
2024-03-08,85.82,585
2024-03-09,85.04,1223
2024-03-10,85.16,3683
2024-03-11,84.4,547
2024-03-12,84.89,733
2024-03-13,84.05,2810
2024-03-14,83.04,1540
2024-03-15,82.7,693
2024-03-16,84.58,3493
2024-03-17,84.31,2869
2024-03-18,82.86,1706
2024-03-19,81.78,3932
2024-03-20,84.34,3833
2024-03-21,84.12,2898
2024-03-22,84.03,3242
2024-03-23,84.31,3430
2024-03-24,85.92,3967
2024-03-25,86.64,3617
2024-03-26,87.3,684
2024-03-27,87.51,2766
2024-03-28,86.94,1188
2024-03-29,87.08,2245
2024-03-30,86.74,952
2024-03-31,85.34,3983
2024-04-01,82.85,2305
2024-04-02,84.13,2154
2024-04-03,85.21,3672
2024-04-04,85.85,3644
2024-04-05,86.41,907
2024-04-06,86.64,3088
2024-04-07,85.57,599
2024-04-08,84.38,3374
2024-04-09,83.68,2731
2024-04-10,83.04,2753
2024-04-11,82.2,1218
2024-04-12,80.86,595
2024-04-13,81.44,3687
2024-04-14,81.98,2423
2024-04-15,83.52,3133
2024-04-16,85.2,3951
2024-04-17,84.56,3847
2024-04-18,85.1,2073
2024-04-19,85.02,2352
2024-04-20,85.33,3267
2024-04-21,87.34,3716
2024-04-22,89.02,2774
2024-04-23,89.52,893
2024-04-24,90.55,2587
2024-04-25,91.18,651
2024-04-26,91.01,2796
2024-04-27,90.79,1029
2024-04-28,90.06,3633
2024-04-29,91.58,3416
2024-04-30,90.64,3807
2024-05-01,90.2,1564
2024-05-02,90.0,2894
2024-05-03,89.13,2546
2024-05-04,90.69,1811
2024-05-05,91.22,2921
2024-05-06,88.97,1933
2024-05-07,87.96,2647
2024-05-08,88.83,2326
2024-05-09,88.3,2257
2024-05-10,88.47,2817
2024-05-11,88.72,2337
2024-05-12,88.88,3727
2024-05-13,88.22,3212
2024-05-14,88.19,1173
2024-05-15,88.29,1892
2024-05-16,87.45,1900
2024-05-17,87.79,3314
2024-05-18,87.9,3331
2024-05-19,88.23,2383
2024-05-20,88.95,772
2024-05-21,88.84,1421
2024-05-22,87.81,3877
2024-05-23,88.72,1858
2024-05-24,89.23,2976
2024-05-25,88.19,3314
2024-05-26,87.11,3443
2024-05-27,87.51,823
2024-05-28,88.16,766
2024-05-29,86.55,1601
2024-05-30,86.23,1320
2024-05-31,85.68,895
2024-06-01,85.48,2057
2024-06-02,86.02,2657
2024-06-03,87.83,1190
2024-06-04,87.01,3384
2024-06-05,88.6,946
2024-06-06,89.7,1665
2024-06-07,91.99,964
2024-06-08,92.11,1644
